ItmIID;ItmSID;ItmName255_DE;ItmName255_EN
E2_I_091;02_88;Freitext Kategorie Dekubitus, Wunden;Free text, “Decubitus (pressure ulcer), wounds” category
E2_I_092;03_88;Freitext Kategorie Ernährung;Free text, “Nutrition” category
E2_I_093;04_88;Freitext Kategorie Ausscheidung;Free text, “Excretion” category
E2_I_094;05_88;Freitext Kategorie Körperpflege und Kleiden;Free text, “Personal hygiene and dressing” category
E2_I_095;90_10;Kontinenzprofil;Continence profile
E2_I_096;07_88;Freitext Kategorie Kommunikation und Interaktion;Free text, “Communication and information” category
E2_I_097;08_88;Freitext Kategorie Schlaf;Free text, “Sleep” category
E2_I_098;11_88;Freitext Kategorie Regulation von Körperfunktionen;Free text, “Regulation of bodily functions” category
E2_I_099;10_88;Freitext Kategorie Schmerz und emotionales Befinden;Free text, “Pain and emotional state” category
E2_I_100;90_88;Freitext Risikoauswertung;Free text, risk analysis
E2_I_101;06_88;Freitext Kategorie Kognition, Bewusstsein;Free text, “Cognition, consciousness” category
E2_I_136;04_11;Stuhlveränderung;Changes in stools
E2_I_163;01_14;Sturzvorgeschichte;Fall history
E2_I_164;01_15;Aktuelles Sturzereignis;Current fall event
E2_I_165;90_18;Sturzrisiko;Risk of falling
E2_I_166;02_04;Dekubitus;Decubitus (pressure ulcer)
E2_I_167;01_16;Positionswechsel im Liegen;Position change whilst lying down
E2_I_168;01_17;Sitzposition halten;Maintaining sitting position
E2_I_169;01_18;Transfer;Transfer
E2_I_171;00_29;Pflegegrad ist beantragt (OPS 9-984.b);Care level requested (OPS 9-984.b)
E2_I_172;03_27;Verhältnis Flüssigkeitsmenge zu Flüssigkeitsbedarf;Ratio of fluid quantity to fluid requirements
E2_I_173;00_35;BMI beeinflussende Faktoren;Factors influencing BMI
E2_I_220;02_06;Experteneinschätzung: weitere Dekubitus-Risikoindikatoren;Expert evaluation: further risk indicators for pressure sores
E3_I_0001;01_01_01;keine Fähigkeit/ Bettruhe;no ability / bed rest
E3_I_0002;01_01_02;gering vorhandene Fähigkeit;limited ability present
E3_I_0003;01_01_03;überwiegend vorhandene Fähigkeit;ability mostly present
E3_I_0004;01_01_04;volle Fähigkeit;full ability
E3_I_0011;01_03_01;ausgeprägt;significant
E3_I_0012;01_03_02;gering;slight
E3_I_0013;01_03_03;keine;none
E3_I_0018;01_06_04;Nein;No
E3_I_0019;01_06_01;Ja;Yes
E3_I_0020;01_06_09;n.b.;n/a
E3_I_0021;01_07_04;Nein;No
E3_I_0022;01_07_01;Ja;Yes
E3_I_0023;01_07_09;n.b.;n/a
E3_I_0026;03_01_01;keine Fähigkeit;no ability
E3_I_0027;03_01_02;gering vorhandene Fähigkeit;limited ability present
E3_I_0028;03_01_03;überwiegend vorhandene Fähigkeit;ability mostly present
E3_I_0029;03_01_04;volle Fähigkeit;full ability
E3_I_0031;03_02_01;bis 25% normaler Portionen;up to 25% of normal portions
E3_I_0032;03_02_02;bis 50% normaler Portionen;up to 50% of normal portions
E3_I_0033;03_02_03;bis 75% normaler Portionen;up to 75% of normal portions
E3_I_0034;03_02_04;bis 100 % normaler Portionen oder >;up to 100 % of normal portions or >
E3_I_0044;03_05_01;keine Fähigkeit;no ability
E3_I_0045;03_05_02;gering vorhandene Fähigkeit;limited ability present
E3_I_0046;03_05_03;überwiegend vorhandene Fähigkeit;ability mostly present
